30,1,1,1,1,1787,1,1,1,19,10,79,1,-1,0,0,1
33,2,1,2,1,4789,0,0,1,11,5,220,1,339,4,2,1
35,3,0,3,1,1350,0,1,1,16,4,185,1,330,1,2,1
30,3,1,3,1,1476,0,0,0,3,6,199,4,-1,0,0,1
59,4,1,2,1,0,0,1,0,5,5,226,1,-1,0,0,1
35,3,0,3,1,747,1,1,1,23,2,141,2,176,3,2,1
36,5,1,3,1,307,0,1,1,14,5,341,1,330,2,3,1
39,6,1,2,1,147,0,1,1,6,5,151,2,-1,0,0,1
41,8,1,3,1,221,0,1,0,14,5,57,2,-1,0,0,1
43,2,1,1,1,-88,0,0,1,17,4,313,1,147,2,2,1
39,2,1,2,1,9374,0,1,0,20,5,273,1,-1,0,0,1
43,7,1,2,1,264,0,1,1,17,4,113,2,-1,0,0,1
36,6,1,3,1,1109,1,1,1,13,8,328,2,-1,0,0,1
20,10,0,2,1,502,1,1,1,30,4,261,1,-1,0,0,0
31,4,1,2,1,360,0,0,1,29,1,89,1,241,1,2,1
40,3,1,3,1,194,1,0,1,29,8,189,2,-1,0,0,1
56,6,1,2,1,4073,1,1,1,27,8,239,5,-1,0,0,1
37,7,0,3,1,2317,0,1,1,20,4,114,1,152,2,2,1
25,4,0,1,1,-221,0,1,0,23,5,250,1,-1,0,0,1
31,2,1,2,1,132,1,1,1,7,7,148,1,152,1,3,1
38,3,2,0,1,0,0,1,1,18,11,96,2,-1,0,0,1
42,3,2,3,1,16,1,1,1,19,11,140,3,-1,0,0,1
44,2,0,2,1,106,1,1,0,12,6,109,2,-1,0,0,1
44,8,1,2,1,93,1,1,1,7,7,125,2,-1,0,0,1
26,9,1,3,1,543,1,1,1,30,1,169,3,-1,0,0,1
41,3,1,3,1,5883,1,1,1,20,11,182,2,-1,0,0,1
55,4,1,1,1,627,0,1,0,5,5,247,1,-1,0,0,1
67,11,1,0,1,696,1,1,2,17,8,119,1,105,2,2,1
56,5,1,2,1,784,1,0,1,30,7,149,2,-1,0,0,1
53,7,1,2,1,105,1,0,1,21,8,74,2,-1,0,0,1
68,11,2,2,1,4189,1,1,2,14,7,897,2,-1,0,0,0
31,6,1,2,1,171,1,1,1,27,8,81,3,-1,0,0,1
59,3,1,2,1,42,1,1,1,21,11,40,1,-1,0,0,1
32,3,0,3,1,2536,0,1,1,26,8,958,6,-1,0,0,0
49,6,1,3,1,1235,1,1,1,13,8,354,3,-1,0,0,0
42,7,2,2,1,1811,0,1,0,14,5,150,1,-1,0,0,1
78,11,2,1,1,229,1,1,2,22,10,97,1,-1,0,0,0
32,4,1,2,1,2089,0,1,1,14,11,132,1,-1,0,0,0
33,3,1,2,1,3935,0,1,1,6,5,765,1,342,2,2,0
23,2,0,3,1,363,0,1,0,30,5,16,18,-1,0,0,1
38,3,0,3,1,11971,0,1,0,17,11,609,2,101,3,2,1
36,3,0,3,1,553,1,1,1,11,8,106,2,-1,0,0,1
52,4,1,2,1,1117,0,1,1,13,5,365,1,-1,0,0,1
32,6,1,3,1,396,0,1,1,13,5,205,3,-1,0,0,1
32,6,0,3,1,2204,0,1,1,21,11,11,4,-1,0,0,1
34,3,0,3,1,872,0,1,0,7,5,105,2,-1,0,0,1
55,4,1,1,1,145,1,1,2,2,2,59,3,5,2,3,1
26,4,1,1,1,0,0,1,0,21,5,425,1,-1,0,0,1
32,8,0,1,0,-849,0,0,1,4,2,204,1,-1,0,0,1
61,7,1,0,1,4629,0,1,1,27,1,181,1,92,1,1,0
45,4,2,1,1,844,1,1,0,5,6,1018,3,-1,0,0,0
37,6,0,2,1,228,0,1,1,20,8,1740,2,-1,0,0,1
38,6,0,2,1,50,1,1,1,29,8,98,2,-1,0,0,1
34,6,1,3,1,1539,0,1,1,15,6,441,1,56,1,3,0
